,uid,has_photo,sex,has_mobile,followers_count,contacts,relatives,relation,personal,activities,music,movies,tv,books,about,quotes,albums,audios,followers,friends,pages,photos,subscriptions,videos,clips_followers,age,city,country,avg_cl,trans,deg_centr,average_neighbor_degree,average_degree_connectivity,k_nearest_neighbors,degree_centrality,closeness_centrality,betweenness_centrality,diameter,average_shortest_path_length,target
1121,651103922,1,1,1.0,0.0,0,1,1,1,1,1,1,1,1,1,1,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,1.0,651103922.0,0.0,0.0,1.0,0.0,0.0,0,0,0
1122,649367219,1,2,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,2.0,0.0,4.0,11.0,4.0,0.0,0.0,4.0,29.0,0.0,0.0,0.0,0.0,0.4,634446198.2,2.5,2.5,0.4,0.6571428571428571,0.2,2,1,0
1123,646549175,1,1,1.0,12.0,0,1,1,1,1,1,1,1,1,1,1,0.0,0.0,12.0,23.0,40.0,3.0,0.0,0.0,35.0,19.0,157.0,1.0,0.7872106154714852,0.455531453362256,0.2210144927536232,364230454.0,10.521823479794492,10.521823479794492,0.2210144927536232,0.571482133236824,0.0354084321475625,2,1,0
1124,641797817,1,1,1.0,0.0,0,1,1,1,1,1,1,1,1,1,1,0.0,0.0,0.0,30.0,16.0,1.0,0.0,0.0,30.0,74.0,0.0,0.0,0.7495261208732834,0.5723777883246322,0.3376344086021505,237378668.51612905,16.378854957583027,16.378854957583027,0.3376344086021505,0.6143905956978372,0.0228401928068223,2,1,0
1125,644714178,1,1,1.0,3.0,0,1,1,1,1,1,1,1,1,1,1,0.0,1.0,3.0,247.0,103.0,42.0,1.0,2.0,250.0,67.0,462.0,1.0,0.4958325067861872,0.2257461744356345,0.0672366886902448,278882651.1646586,46.14949503260755,46.14949503260755,0.0672366886902448,0.5186958942509279,0.003776369681416,2,1,0
1126,649432771,0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,649432771.0,0.0,0.0,1.0,0.0,0.0,0,0,0
1127,649432772,0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,649432772.0,0.0,0.0,1.0,0.0,0.0,0,0,0
1128,645467853,1,2,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,49.0,14.0,0.0,16.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,1.0,645467853.0,0.0,0.0,1.0,0.0,0.0,0,0,0
1129,642354894,1,2,1.0,5.0,0,1,1,1,1,1,1,1,1,1,1,0.0,0.0,5.0,26.0,4.0,27.0,18.0,0.0,31.0,41.0,37.0,1.0,0.431670058336725,0.1694117647058823,0.1339031339031339,341564989.7407407,11.33525641025641,11.33525641025641,0.1339031339031339,0.5447766346810701,0.0346438746438746,2,1,0
1130,647499471,0,2,1.0,0.0,0,1,1,1,1,1,1,1,1,1,1,0.0,1.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,1.0,647499471.0,0.0,0.0,1.0,0.0,0.0,0,0,0
1131,646319827,1,2,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,3.0,15.0,0.0,5.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,1.0,646319827.0,0.0,0.0,1.0,0.0,0.0,0,0,0
1132,649858779,1,2,1.0,0.0,0,1,1,1,1,1,1,1,1,1,1,1.0,0.0,0.0,0.0,14.0,8.0,0.0,0.0,0.0,51.0,0.0,0.0,0.0,0.0,1.0,649858779.0,0.0,0.0,1.0,0.0,0.0,0,0,0
1133,641797851,0,1,1.0,0.0,0,1,1,1,1,1,1,1,1,1,1,0.0,1.0,0.0,0.0,3.0,0.0,0.0,9.0,0.0,119.0,23.0,1.0,0.0,0.0,1.0,641797851.0,0.0,0.0,1.0,0.0,0.0,0,0,0
1134,650645215,1,1,1.0,47.0,0,1,1,1,1,1,1,1,1,1,1,1.0,11.0,47.0,210.0,10.0,23.0,1.0,8.0,257.0,0.0,1.0,1.0,0.3544224814685273,0.1159366015124791,0.056443897772311,647247654.1881919,49.2790083336974,49.2790083336974,0.056443897772311,0.5156888748261889,0.0035076435027051,2,1,0
1135,649006815,1,2,1.0,0.0,0,1,1,1,1,1,1,1,1,1,1,0.0,0.0,0.0,3.0,9.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.8333333333333333,0.75,0.8333333333333333,505840881.0,2.666666666666667,2.666666666666667,0.8333333333333333,0.875,0.0833333333333333,2,1,0
1136,651529961,0,1,1.0,0.0,0,1,1,1,1,1,1,1,1,1,1,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,0.0,1.0,651529961.0,0.0,0.0,1.0,0.0,0.0,0,0,0
1137,648056553,0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,648056553.0,0.0,0.0,1.0,0.0,0.0,0,0,0
1138,642977519,1,2,1.0,41.0,0,1,1,1,1,1,1,1,1,1,1,0.0,0.0,41.0,34.0,39.0,2.0,0.0,0.0,75.0,18.0,0.0,0.0,0.6537245645405753,0.5225362872421696,0.3142857142857143,343602085.25714284,17.15327080775488,17.15327080775488,0.3142857142857143,0.603413493757718,0.0207792207792207,2,1,0
1139,647827184,0,1,1.0,1.0,0,1,1,1,1,1,1,1,1,1,1,0.0,2.0,1.0,9.0,5.0,0.0,0.0,0.0,10.0,63.0,0.0,0.0,0.8545238095238096,0.7887323943661971,0.7555555555555555,174320492.4,7.555291005291005,7.555291005291005,0.7555555555555555,0.8245654345654345,0.0305555555555555,2,1,0
1140,650022641,0,2,1.0,2.0,0,1,1,1,1,1,1,1,1,1,1,0.0,0.0,2.0,0.0,128.0,0.0,1.0,0.0,2.0,31.0,0.0,0.0,0.0,0.0,1.0,650022641.0,0.0,0.0,1.0,0.0,0.0,0,0,0
1141,647171824,1,2,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,186.0,74.0,0.0,10.0,0.0,0.0,19.0,146.0,1.0,0.0,0.0,1.0,647171824.0,0.0,0.0,1.0,0.0,0.0,0,0,0
1142,651366139,1,2,1.0,0.0,0,1,1,1,1,1,1,1,1,1,1,0.0,0.0,0.0,0.0,5.0,1.0,11.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,1.0,651366139.0,0.0,0.0,1.0,0.0,0.0,0,0,0
1143,651103997,0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,651103997.0,0.0,0.0,1.0,0.0,0.0,0,0,0
1144,650874629,1,2,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,229.0,21.0,0.0,30.0,0.0,0.0,43.0,403.0,1.0,0.0,0.0,1.0,650874629.0,0.0,0.0,1.0,0.0,0.0,0,0,0
1145,649694982,0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,649694982.0,0.0,0.0,1.0,0.0,0.0,0,0,0
